Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,Session,GP,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:17:54.664000,NOR,4,-1.648198650112067,2.0,1.0,,,-0.25586094870603504,-1.9511838812438158,0.6701210956550457,0 days 00:17:02.085000,0 days 00:17:20.105000,0 days 00:17:54.664000,278.0,318.0,304.0,311.0,True,MEDIUM,2.0,True,McLaren,0 days 00:16:32.768000,2025-03-14 01:32:00.777,1,,False,,False,True,FP1,Australian Grand_Prix,0.10517268122673644,0.0446577311644105,1018.2,False,0.8022299786861944,0,1.0
0 days 00:18:05.643000,HAD,6,-0.8497482435264115,2.0,1.0,,,-0.36310607482955654,-1.8926376462185486,1.2963336869487243,0 days 00:17:07.635000,0 days 00:17:26.103000,0 days 00:18:05.643000,272.0,306.0,298.0,315.0,True,MEDIUM,2.0,True,Racing Bulls,0 days 00:16:38.679000,2025-03-14 01:32:06.688,1,,False,,False,True,FP1,Australian Grand_Prix,0.10517268122673644,0.0446577311644105,1018.2,False,0.8022299786861944,0,1.0
0 days 00:18:06.706000,GAS,10,-1.7777026426561495,2.0,1.0,,,-0.4956028234475351,-1.9364166389271749,0.6540289029857843,0 days 00:17:14.142000,0 days 00:17:32.275000,0 days 00:18:06.706000,277.0,316.0,303.0,317.0,True,MEDIUM,2.0,True,Alpine,0 days 00:16:45.632000,2025-03-14 01:32:13.641,1,,False,,False,True,FP1,Australian Grand_Prix,0.10517268122673644,0.0446577311644105,1018.2,False,0.8022299786861944,0,1.0
0 days 00:18:16.835000,BOR,5,-1.1298675850633668,2.0,1.0,,,-0.09306225309470684,-1.8482052357083012,0.9157784743717386,0 days 00:17:21.514000,0 days 00:17:40.322000,0 days 00:18:16.835000,265.0,313.0,292.0,305.0,True,MEDIUM,2.0,True,Kick Sauber,0 days 00:16:51.649000,2025-03-14 01:32:19.658,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,0.0446577311644105,1018.2,False,0.841869587059934,243,0.4
0 days 00:18:20.512000,DOO,7,-1.662220371932533,2.0,1.0,,,-0.5336287961450717,-1.933149549919068,0.7591310363568983,0 days 00:17:27.087000,0 days 00:17:45.245000,0 days 00:18:20.512000,275.0,323.0,302.0,315.0,True,MEDIUM,2.0,True,Alpine,0 days 00:16:58.705000,2025-03-14 01:32:26.714,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,0.0446577311644105,1018.2,False,0.841869587059934,243,0.4
0 days 00:18:30.953000,STR,18,-1.4326737574109671,2.0,1.0,,,-0.39014016479421176,-1.8842738983577962,0.8345631894940602,0 days 00:17:36.554000,0 days 00:17:55.086000,0 days 00:18:30.953000,279.0,302.0,253.0,298.0,True,MEDIUM,2.0,True,Aston Martin,0 days 00:17:07.689000,2025-03-14 01:32:35.698,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,0.0446577311644105,1018.2,False,0.841869587059934,243,0.4
0 days 00:18:34.773000,VER,1,-1.9829869520052235,2.0,1.0,,,-0.6616693760875587,-1.980849049437422,0.6032379198734286,0 days 00:17:42.953000,0 days 00:18:00.746000,0 days 00:18:34.773000,282.0,321.0,304.0,320.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:17:15.002000,2025-03-14 01:32:43.011,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,0.0446577311644105,1018.2,False,0.841869587059934,243,0.4
0 days 00:18:42.827000,TSU,22,-1.7085393181709267,2.0,1.0,,,-0.5086742515623135,-1.92491648561864,0.7036884038010834,0 days 00:17:49.780000,0 days 00:18:08.001000,0 days 00:18:42.827000,278.0,321.0,301.0,312.0,True,MEDIUM,2.0,True,Racing Bulls,0 days 00:17:21.314000,2025-03-14 01:32:49.323,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,0.0446577311644105,1018.2,False,0.841869587059934,243,0.4
0 days 00:18:46.794000,HAM,44,-1.8593122145999874,2.0,1.0,,,-0.6266141825070175,-1.9400757786162537,0.6478686104795828,0 days 00:17:54.307000,0 days 00:18:12.412000,0 days 00:18:46.794000,280.0,316.0,302.0,319.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:17:26.238000,2025-03-14 01:32:54.247,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,0.0446577311644105,1018.2,False,0.841869587059934,243,0.4
0 days 00:18:52.383000,LEC,16,-1.945018019884635,2.0,1.0,,,-0.6803852845246271,-1.9556271222948403,0.6171928682038034,0 days 00:18:00.259000,0 days 00:18:18.245000,0 days 00:18:52.383000,282.0,316.0,303.0,319.0,True,MEDIUM,2.0,True,Ferrari,0 days 00:17:32.371000,2025-03-14 01:33:00.380,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,0.0446577311644105,1018.2,False,0.841869587059934,243,0.4
0 days 00:19:02.556000,LAW,30,-1.4863974331500565,2.0,1.0,,,-0.3732067238273394,-1.9049219008890288,0.8043903282391958,0 days 00:18:08.555000,0 days 00:18:26.929000,0 days 00:19:02.556000,276.0,322.0,299.0,319.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:17:39.633000,2025-03-14 01:33:07.642,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,0.0446577311644105,1018.2,False,0.841869587059934,243,0.4
0 days 00:19:08.720000,BEA,87,-1.4040001240252942,2.0,1.0,,,-0.33280412783620694,-1.8753874162557465,0.8246312893310004,0 days 00:18:14.332000,0 days 00:18:32.932000,0 days 00:19:08.720000,274.0,312.0,295.0,296.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:17:45.274000,2025-03-14 01:33:13.283,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,0.0446577311644105,1018.2,False,0.841869587059934,243,0.4
0 days 00:19:11.799000,PIA,81,-1.9245368531805838,2.0,1.0,,,-0.5674956780788155,-1.9765364919467214,0.6058780452332294,0 days 00:18:19.925000,0 days 00:18:37.751000,0 days 00:19:11.799000,281.0,320.0,303.0,318.0,True,MEDIUM,2.0,True,McLaren,0 days 00:17:51.657000,2025-03-14 01:33:19.666,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,0.0446577311644105,1018.2,False,0.841869587059934,243,0.4
0 days 00:19:25.644000,RUS,63,-1.0830759965164178,2.0,1.0,,,0.06587442966452835,-1.7990682170263805,0.838586237661376,0 days 00:18:30.561000,0 days 00:18:49.745000,0 days 00:19:25.644000,265.0,304.0,303.0,307.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:18:00.161000,2025-03-14 01:33:28.170,1,,False,,False,True,FP1,Australian Grand_Prix,0.10517268122673644,-0.06113505996229278,1018.2,False,0.9343620065986578,201,0.7
0 days 00:19:27.391000,HAD,6,-1.6715156706674485,3.0,1.0,,,-0.6278024941538148,-1.9378541580907416,0.7960927913941076,0 days 00:18:33.708000,0 days 00:18:51.830000,0 days 00:19:27.391000,276.0,309.0,301.0,319.0,True,MEDIUM,3.0,True,Racing Bulls,0 days 00:18:05.643000,2025-03-14 01:33:33.652,1,,False,,False,True,FP1,Australian Grand_Prix,0.10517268122673644,-0.06113505996229278,1018.2,False,0.9343620065986578,201,0.7
0 days 00:19:41.237000,DOO,7,-1.8326866978847203,3.0,1.0,,,-0.5850232748690867,-1.9537975524503008,0.6647151246802158,0 days 00:18:48.721000,0 days 00:19:06.721000,0 days 00:19:41.237000,276.0,319.0,302.0,318.0,True,MEDIUM,3.0,True,Alpine,0 days 00:18:20.512000,2025-03-14 01:33:48.521,1,,False,,False,True,FP1,Australian Grand_Prix,0.10517268122673644,-0.06113505996229278,1018.2,False,0.9343620065986578,201,0.7
0 days 00:19:48.386000,ALO,14,-1.6786053052957743,2.0,1.0,,,-0.5199632122068948,-1.8908080763740092,0.6995396353785394,0 days 00:18:55.111000,0 days 00:19:13.593000,0 days 00:19:48.386000,279.0,296.0,290.0,302.0,True,MEDIUM,2.0,True,Aston Martin,0 days 00:18:26.683000,2025-03-14 01:33:54.692,1,,False,,False,True,FP1,Australian Grand_Prix,0.10517268122673644,-0.06113505996229278,1018.2,False,0.9343620065986578,201,0.7
0 days 00:20:14.009000,ANT,12,1.7397014176104948,2.0,1.0,,,1.3905448379326217,-1.3127946890598206,2.062724362822297,0 days 00:19:05.468000,0 days 00:19:28.373000,0 days 00:20:14.009000,241.0,248.0,300.0,259.0,True,MEDIUM,2.0,True,Mercedes,0 days 00:18:30.609000,2025-03-14 01:33:58.618,1,,False,,False,True,FP1,Australian Grand_Prix,0.10517268122673644,-0.06113505996229278,1018.2,False,0.9343620065986578,201,0.7
0 days 00:20:31.115000,BEA,87,-1.5695824794557451,3.0,1.0,,,-0.5633365873150227,-1.868983921799858,0.7838979266369328,0 days 00:19:37.002000,0 days 00:19:55.651000,0 days 00:20:31.115000,270.0,298.0,296.0,299.0,True,MEDIUM,3.0,True,Haas F1 Team,0 days 00:19:08.720000,2025-03-14 01:34:36.729,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.16692785108899605,1018.3,False,0.9475752093899042,168,0.3
0 days 00:20:45.930000,RUS,63,-1.9018500223699408,3.0,1.0,,,-0.6934567126394056,-1.9603317304665138,0.6616978385547292,0 days 00:19:53.488000,0 days 00:20:11.438000,0 days 00:20:45.930000,284.0,318.0,302.0,319.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:19:25.644000,2025-03-14 01:34:53.653,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.16692785108899605,1018.3,False,0.9475752093899042,168,0.3
0 days 00:20:56.814000,SAI,55,-1.8788480966869285,2.0,1.0,,,-0.641468078091993,-1.9485702100373306,0.6467371281825253,0 days 00:20:04.401000,0 days 00:20:22.441000,0 days 00:20:56.814000,282.0,318.0,305.0,315.0,True,MEDIUM,2.0,True,Williams,0 days 00:19:36.382000,2025-03-14 01:35:04.391,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.16692785108899605,1018.3,False,0.9475752093899042,168,0.3
0 days 00:21:15.062000,NOR,4,-2.1414796728073484,4.0,1.0,,,-0.7986222933810311,-1.980849049437422,0.534720380773839,0 days 00:20:23.787000,0 days 00:20:41.580000,0 days 00:21:15.062000,283.0,317.0,305.0,319.0,True,MEDIUM,4.0,True,McLaren,0 days 00:19:56.297000,2025-03-14 01:35:24.306,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.11403145552564442,1018.3,False,0.9343620065986578,157,0.9
0 days 00:21:26.976000,GAS,10,-2.056246509831256,4.0,1.0,,,-0.7766385279152672,-1.9700023139305085,0.5829969587816232,0 days 00:20:35.234000,0 days 00:20:53.110000,0 days 00:21:26.976000,278.0,317.0,300.0,318.0,True,MEDIUM,4.0,True,Alpine,0 days 00:20:07.670000,2025-03-14 01:35:35.679,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.11403145552564442,1018.3,False,0.9343620065986578,157,0.9
0 days 00:21:34.714000,ALO,14,2.201000310760218,3.0,1.0,,,2.145122733649364,-1.637412652905275,2.423792935838849,0 days 00:20:25.785000,0 days 00:20:46.206000,0 days 00:21:34.714000,230.0,272.0,304.0,238.0,False,MEDIUM,3.0,True,Aston Martin,0 days 00:19:48.386000,2025-03-14 01:35:16.395,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.11403145552564442,1018.3,False,0.9343620065986578,157,0.9
0 days 00:21:35.651000,ANT,12,-1.6882156989030614,3.0,1.0,,,-0.5615541198448256,-1.9102799268623234,0.7282038535706613,0 days 00:20:42.297000,0 days 00:21:00.630000,0 days 00:21:35.651000,278.0,318.0,305.0,318.0,True,MEDIUM,3.0,True,Mercedes,0 days 00:20:14.009000,2025-03-14 01:35:42.018,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.11403145552564442,1018.3,False,0.9343620065986578,157,0.9
0 days 00:21:42.536000,BOR,5,-1.6661590578371592,4.0,1.0,,,-0.5556125616108356,-1.8996945584760583,0.7331069435245771,0 days 00:20:49.062000,0 days 00:21:07.476000,0 days 00:21:42.536000,273.0,312.0,297.0,312.0,True,MEDIUM,4.0,True,Kick Sauber,0 days 00:20:20.754000,2025-03-14 01:35:48.763,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.11403145552564442,1018.3,False,0.9343620065986578,157,0.9
0 days 00:21:54.204000,STR,18,-1.9506897275872959,4.0,1.0,,,-0.7311856074252434,-1.9425587662624149,0.621593077136805,0 days 00:21:01.945000,0 days 00:21:20.031000,0 days 00:21:54.204000,282.0,319.0,304.0,322.0,True,MEDIUM,4.0,True,Aston Martin,0 days 00:20:34.228000,2025-03-14 01:36:02.237,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.11403145552564442,1018.3,False,0.9343620065986578,157,0.9
0 days 00:21:59.316000,HAM,44,-2.0902767560472184,4.0,1.0,,,-0.8610086548379263,-1.9532748182090036,0.5754537434679066,0 days 00:21:07.506000,0 days 00:21:25.510000,0 days 00:21:59.316000,284.0,316.0,303.0,320.0,True,MEDIUM,4.0,True,Ferrari,0 days 00:20:40.226000,2025-03-14 01:36:08.235,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.11403145552564442,1018.3,False,0.9343620065986578,157,0.9
0 days 00:22:07.544000,TSU,22,-2.047108758532524,4.0,1.0,,,-0.7879274885598485,-1.9730080358179665,0.5979576691538271,0 days 00:21:15.706000,0 days 00:21:33.559000,0 days 00:22:07.544000,283.0,322.0,302.0,324.0,True,MEDIUM,4.0,True,Racing Bulls,0 days 00:20:48.180000,2025-03-14 01:36:16.189,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.11403145552564442,1018.3,False,0.9343620065986578,157,0.9
0 days 00:22:17.507000,OCO,31,-1.3746963008948803,2.0,1.0,,,-0.19198919769064152,-1.8717282765666674,0.7849036886787619,0 days 00:21:23.407000,0 days 00:21:42.035000,0 days 00:22:17.507000,265.0,307.0,295.0,290.0,True,MEDIUM,2.0,True,Haas F1 Team,0 days 00:20:53.875000,2025-03-14 01:36:21.884,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.11403145552564442,1018.4,False,0.9079356010161657,219,1.1
0 days 00:22:17.837000,VER,1,-2.0809814573123027,4.0,1.0,,,-0.8422927464008578,-2.0250200928270212,0.6439712825674961,0 days 00:21:26.031000,0 days 00:21:43.486000,0 days 00:22:17.837000,285.0,326.0,310.0,326.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:20:58.688000,2025-03-14 01:36:26.697,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.11403145552564442,1018.4,False,0.9079356010161657,219,1.1
0 days 00:22:24.679000,LEC,16,-2.2120609242182363,4.0,1.0,,,-0.8841807319504875,-1.9825479357216371,0.5162395032552344,0 days 00:21:33.564000,0 days 00:21:51.344000,0 days 00:22:24.679000,285.0,317.0,303.0,318.0,True,MEDIUM,4.0,True,Ferrari,0 days 00:21:06.362000,2025-03-14 01:36:34.371,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.11403145552564442,1018.4,False,0.9079356010161657,219,1.1
0 days 00:22:32.722000,LAW,30,-1.8969660518482065,4.0,1.0,,,-0.6622635319109573,-1.9547123373725708,0.6469885686929828,0 days 00:21:40.354000,0 days 00:21:58.347000,0 days 00:22:32.722000,282.0,323.0,302.0,321.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 00:21:12.405000,2025-03-14 01:36:40.414,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.11403145552564442,1018.4,False,0.9079356010161657,219,1.1
0 days 00:22:38.846000,PIA,81,-2.15187780359556,4.0,1.0,,,-0.7805005407673613,-2.0026732040115727,0.5397491909829831,0 days 00:21:47.698000,0 days 00:22:05.324000,0 days 00:22:38.846000,282.0,319.0,304.0,321.0,True,MEDIUM,4.0,True,McLaren,0 days 00:21:20.147000,2025-03-14 01:36:48.156,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.11403145552564442,1018.4,False,0.9079356010161657,219,1.1
0 days 00:22:49.689000,HAD,6,-2.0241068328495118,5.0,1.0,,,-0.7525752170676074,-1.9796728973945037,0.6077638490616586,0 days 00:21:57.824000,0 days 00:22:15.626000,0 days 00:22:49.689000,283.0,321.0,303.0,323.0,True,MEDIUM,5.0,True,Racing Bulls,0 days 00:21:30.179000,2025-03-14 01:36:58.188,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.11403145552564442,1018.4,False,0.9079356010161657,219,1.1
0 days 00:22:53.542000,ALO,14,-2.131554184327692,4.0,1.0,,,-0.8874485889791829,-1.9796728973945037,0.5790996308695365,0 days 00:22:01.905000,0 days 00:22:19.707000,0 days 00:22:53.542000,283.0,322.0,303.0,324.0,True,MEDIUM,4.0,True,Aston Martin,0 days 00:21:34.714000,2025-03-14 01:37:02.723,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.11403145552564442,1018.4,False,0.9079356010161657,219,1.1
0 days 00:23:07.784000,DOO,7,-2.0222162636152916,5.0,1.0,,,-0.7427716459815235,-1.9843775055661772,0.6096496528900877,0 days 00:22:15.940000,0 days 00:22:33.706000,0 days 00:23:07.784000,281.0,321.0,302.0,322.0,True,MEDIUM,5.0,True,Alpine,0 days 00:21:48.262000,2025-03-14 01:37:16.271,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.11403145552564442,1018.4,False,0.9079356010161657,219,1.1
0 days 00:24:05.320000,BEA,87,-1.7981838093602007,5.0,1.0,,,-0.5975005471604653,-1.90466053376838,0.650257295328927,0 days 00:23:12.543000,0 days 00:23:30.919000,0 days 00:24:05.320000,275.0,306.0,299.0,303.0,True,MEDIUM,5.0,True,Haas F1 Team,0 days 00:22:44.376000,2025-03-14 01:38:12.385,1,,False,,False,True,FP1,Australian Grand_Prix,0.08698138532698912,-0.16692785108899605,1018.2,False,0.9343620065986578,278,0.6
0 days 00:24:21.115000,RUS,63,-2.0828720265465233,5.0,1.0,,,-0.8170411239063997,-1.985553657609095,0.5938089007312829,0 days 00:23:29.406000,0 days 00:23:47.163000,0 days 00:24:21.115000,283.0,317.0,302.0,319.0,True,MEDIUM,5.0,True,Mercedes,0 days 00:23:01.978000,2025-03-14 01:38:29.987,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,-0.21982424665234768,1018.2,False,0.9079356010161657,126,0.0
0 days 00:24:31.399000,SAI,55,-2.1621183869475855,4.0,1.0,,,-0.8684356026304145,-1.9860763918503923,0.5528240975267579,0 days 00:23:40.020000,0 days 00:23:57.773000,0 days 00:24:31.399000,284.0,319.0,305.0,321.0,True,MEDIUM,4.0,True,Williams,0 days 00:23:12.765000,2025-03-14 01:38:40.774,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,-0.21982424665234768,1018.2,False,0.9079356010161657,126,0.0
0 days 00:24:41.740000,NOR,4,-2.2221439601340762,6.0,1.0,,,-0.855661252427336,-2.0026732040115727,0.5154851817238627,0 days 00:23:50.785000,0 days 00:24:08.411000,0 days 00:24:41.740000,285.0,321.0,304.0,321.0,True,MEDIUM,6.0,True,McLaren,0 days 00:23:23.487000,2025-03-14 01:38:51.496,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,-0.21982424665234768,1018.2,False,0.9079356010161657,126,0.0
0 days 00:24:52.158000,ALB,23,-1.6927845745524264,2.0,1.0,,,-0.5734372363128055,-1.9063594200525955,0.725815168721318,0 days 00:23:58.793000,0 days 00:24:17.156000,0 days 00:24:52.158000,281.0,318.0,306.0,319.0,True,MEDIUM,2.0,True,Williams,0 days 00:23:30.545000,2025-03-14 01:38:58.554,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,-0.21982424665234768,1018.2,False,0.9079356010161657,126,0.0
0 days 00:25:07.583000,ANT,12,-1.9453331147570043,5.0,1.0,,,-0.718114179310465,-1.942689449822739,0.6204615948397475,0 days 00:24:15.334000,0 days 00:24:33.419000,0 days 00:25:07.583000,281.0,316.0,303.0,317.0,True,MEDIUM,5.0,True,Mercedes,0 days 00:23:47.573000,2025-03-14 01:39:15.582,1,,False,,False,True,FP1,Australian Grand_Prix,0.1233639771264831,-0.21982424665234768,1018.2,False,0.9079356010161657,126,0.0
0 days 00:25:14.799000,GAS,10,-2.1722014228634277,6.0,1.0,,,-0.8113966435841096,-1.9924798863062807,0.5268000046944367,0 days 00:24:23.676000,0 days 00:24:41.380000,0 days 00:25:14.799000,278.0,316.0,304.0,318.0,True,MEDIUM,6.0,True,Alpine,0 days 00:23:56.229000,2025-03-14 01:39:24.238,1,,False,,False,True,FP1,Australian Grand_Prix,0.14155527302623042,-0.21982424665234768,1018.3,False,0.9343620065986578,96,0.7
0 days 00:25:23.044000,STR,18,-2.068220114981316,6.0,1.0,,,-0.8345687206966708,-1.9698716303701846,0.5978319488985987,0 days 00:24:31.183000,0 days 00:24:49.060000,0 days 00:25:23.044000,284.0,321.0,303.0,320.0,True,MEDIUM,6.0,True,Aston Martin,0 days 00:24:03.814000,2025-03-14 01:39:31.823,1,,False,,False,True,FP1,Australian Grand_Prix,0.14155527302623042,-0.21982424665234768,1018.3,False,0.9343620065986578,96,0.7
0 days 00:25:29.955000,HAM,44,-2.198826939578695,6.0,1.0,,,-0.9302278082639112,-1.9585021606219741,0.5231541172928076,0 days 00:24:38.601000,0 days 00:24:56.565000,0 days 00:25:29.955000,284.0,317.0,302.0,320.0,True,MEDIUM,6.0,True,Ferrari,0 days 00:24:11.554000,2025-03-14 01:39:39.563,1,,False,,False,True,FP1,Australian Grand_Prix,0.14155527302623042,-0.21982424665234768,1018.3,False,0.9343620065986578,96,0.7
0 days 00:25:39.294000,OCO,31,-1.851907485099292,4.0,1.0,,,-0.6304761953591106,-1.928575625307719,0.644348443333182,0 days 00:24:46.747000,0 days 00:25:04.940000,0 days 00:25:39.294000,271.0,309.0,297.0,302.0,True,MEDIUM,4.0,True,Haas F1 Team,0 days 00:24:18.691000,2025-03-14 01:39:46.700,1,,False,,False,True,FP1,Australian Grand_Prix,0.14155527302623042,-0.21982424665234768,1018.3,False,0.9343620065986578,96,0.7
0 days 00:25:52.810000,LEC,16,-2.2809091538310877,6.0,1.0,,,-0.9810281311645263,-1.997315178038278,0.5164909437656919,0 days 00:25:01.806000,0 days 00:25:19.473000,0 days 00:25:52.810000,285.0,316.0,301.0,319.0,True,MEDIUM,6.0,True,Ferrari,0 days 00:24:34.930000,2025-03-14 01:40:02.939,1,,False,,False,True,FP1,Australian Grand_Prix,0.14155527302623042,-0.21982424665234768,1018.3,False,0.9343620065986578,96,0.7
0 days 00:26:04.938000,VER,1,-2.210800544728755,6.0,1.0,,,-0.8829924203036902,-2.0154801929233503,0.5484238885937571,0 days 00:25:13.819000,0 days 00:25:31.347000,0 days 00:26:04.938000,284.0,322.0,307.0,324.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:24:46.613000,2025-03-14 01:40:14.622,1,,False,,False,True,FP1,Australian Grand_Prix,0.14155527302623042,-0.21982424665234768,1018.3,False,0.9343620065986578,96,0.7
0 days 00:26:09.901000,ALO,14,-2.1526655407764843,6.0,1.0,,,-0.89517261468337,-1.9707864152924541,0.556972865949302,0 days 00:25:18.372000,0 days 00:25:36.242000,0 days 00:26:09.901000,283.0,319.0,304.0,324.0,True,MEDIUM,6.0,True,Aston Martin,0 days 00:24:51.207000,2025-03-14 01:40:19.216,1,,False,,False,True,FP1,Australian Grand_Prix,0.14155527302623042,-0.21982424665234768,1018.3,False,0.9343620065986578,96,0.7
0 days 00:26:16.214000,LAW,30,-2.027100234137028,6.0,1.0,,,-0.7665378789174844,-1.968042060525645,0.6000949134927137,0 days 00:25:24.321000,0 days 00:25:42.212000,0 days 00:26:16.214000,284.0,323.0,302.0,323.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 00:24:56.723000,2025-03-14 01:40:24.732,1,,False,,False,True,FP1,Australian Grand_Prix,0.14155527302623042,-0.21982424665234768,1018.0,False,0.9607884121811507,121,1.0
0 days 00:26:22.659000,HAD,6,-2.131081542019137,7.0,1.0,,,-0.8633852781315231,-1.9960083424350359,0.5850084828652806,0 days 00:25:31.100000,0 days 00:25:48.777000,0 days 00:26:22.659000,284.0,325.0,302.0,323.0,True,MEDIUM,7.0,True,Racing Bulls,0 days 00:25:03.828000,2025-03-14 01:40:31.837,1,,False,,False,True,FP1,Australian Grand_Prix,0.14155527302623042,-0.21982424665234768,1018.0,False,0.9607884121811507,121,1.0
0 days 00:26:32.800000,DOO,7,-1.9139811749561866,7.0,1.0,,,-0.7644583335355875,-1.998622013641521,0.7189005546837448,0 days 00:25:40.196000,0 days 00:25:57.853000,0 days 00:26:32.800000,283.0,322.0,301.0,323.0,False,MEDIUM,7.0,True,Alpine,0 days 00:25:12.591000,2025-03-14 01:40:40.600,1,,False,,False,True,FP1,Australian Grand_Prix,0.14155527302623042,-0.21982424665234768,1018.0,False,0.9607884121811507,121,1.0
0 days 00:27:23.830000,BEA,87,-1.943442545522784,7.0,1.0,,,-0.739800866864529,-1.9277915239457735,0.6168157074381175,0 days 00:26:31.496000,0 days 00:26:49.695000,0 days 00:27:23.830000,277.0,308.0,296.0,303.0,True,MEDIUM,7.0,True,Haas F1 Team,0 days 00:26:03.808000,2025-03-14 01:41:31.817,1,,False,,False,True,FP1,Australian Grand_Prix,0.14155527302623042,-0.16692785108899605,1018.2,False,0.9211488038074112,185,0.8
0 days 00:28:01.403000,SAI,55,-2.1978816549615847,6.0,1.0,,,-0.8788333295398972,-1.9953549246334146,0.5376119466440973,0 days 00:27:10.216000,0 days 00:27:27.898000,0 days 00:28:01.403000,284.0,318.0,305.0,320.0,True,MEDIUM,6.0,True,Williams,0 days 00:26:42.996000,2025-03-14 01:42:11.005,1,,False,,False,True,FP1,Australian Grand_Prix,0.14155527302623042,-0.16692785108899605,1018.2,False,0.9211488038074112,185,0.8
0 days 00:28:14.412000,TSU,22,-2.172516517735797,7.0,2.0,,,-0.8809128749217932,-1.976667175507046,0.5407549530248122,0 days 00:27:23.057000,0 days 00:27:40.882000,0 days 00:28:14.412000,284.0,307.0,302.0,319.0,True,MEDIUM,7.0,False,Racing Bulls,0 days 00:26:55.844000,2025-03-14 01:42:23.853,1,,False,,False,True,FP1,Australian Grand_Prix,0.14155527302623042,-0.16692785108899605,1018.2,False,0.9211488038074112,185,0.8
0 days 00:29:02.986000,OCO,31,-1.9495868955339999,6.0,1.0,,,-0.7163317118402679,-1.9523600332867341,0.6256161253041198,0 days 00:28:10.770000,0 days 00:28:28.781000,0 days 00:29:02.986000,273.0,306.0,296.0,301.0,True,MEDIUM,6.0,True,Haas F1 Team,0 days 00:27:43.003000,2025-03-14 01:43:11.012,1,,False,,False,True,FP1,Australian Grand_Prix,0.14155527302623042,-0.16692785108899605,1018.3,False,0.9211488038074112,0,1.0
